draft_id,draft_Player,draft_All_NBA,draft_All_Star,draft_Draft_Yr,draft_Pk,draft_Team,draft_College,draft_Yrs,draft_Games,draft_Minutes_Played,draft_PTS,draft_TRB,draft_AST,draft_FG_Percentage,draft_TP_Percentage,draft_FT_Percentage,draft_Minutes_per_Game,draft_Points_per_Game,draft_TRB_per_game,draft_Assits_per_Game,draft_Win_Share,draft_WS_per_game,draft_BPM,draft_VORP,draft_Executive,draft_Tenure,draft_Exec_ID,draft_Exec_draft_exp,draft_attend_college,draft_first_year,draft_second_year,draft_third_year,draft_fourth_year,draft_fifth_year
274,Chris McCullough,0,0,2015,29,NJN,Syracuse University,1,24,362,112,68,9,0.404,0.382,0.478,15.1,4.7,2.8,0.4,0.3,0.043,-1,0.1,Billy King,2006 days 00:00:00.000000000,10,14,1,1,0,0,0,0
275,Pat Connaughton,0,0,2015,41,NJN,University of Notre Dame,1,34,143,36,32,10,0.265,0.238,1,4.2,1.1,0.9,0.3,-0.2,-0.076,-8.2,-0.2,Billy King,2006 days 00:00:00.000000000,10,14,1,1,0,0,0,0
573,Kevon Looney,0,0,2015,30,GSW,University of California Los Angeles,1,5,21,9,10,0,0.571,0.5,0,4.2,1.8,2,0,0.1,0.192,-9.5,0,Bob Myers,1620 days 00:00:00.000000000,17,2,1,1,0,0,0,0
859,Jarell Martin,0,0,2015,25,MEM,Louisiana State University,1,27,380,153,86,15,0.466,0,0.726,14.1,5.7,3.2,0.6,0.8,0.1,-3.2,-0.1,Chris Wallace,865 days 00:00:00.000000000,30,10,1,1,0,0,0,0
896,Marcus Thornton,0,0,2015,45,BOS,College of William & Mary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0
897,Terry Rozier,0,0,2015,16,BOS,University of Louisville,1,39,311,72,63,37,0.274,0.222,0.8,8,1.8,1.6,0.9,-0.3,-0.047,-6.6,-0.4,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0
898,R.J. Hunter,0,0,2015,28,BOS,Georgia State University,1,36,315,97,37,13,0.367,0.302,0.857,8.8,2.7,1,0.4,0.3,0.045,-3.5,-0.1,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0
899,Jordan Mickey,0,0,2015,33,BOS,Louisiana State University,1,16,57,21,13,1,0.364,0,0.5,3.6,1.3,0.8,0.1,0.1,0.068,-3.2,0,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0
928,Sam Dekker,0,0,2015,18,HOU,University of Wisconsin,1,3,6,0,1,0,0,0,0,2,0,0.3,0,0,0.116,0.5,0,Daryl Morey,3435 days 00:00:00.000000000,34,8,1,1,0,0,0,0
929,Montrezl Harrell,0,0,2015,32,HOU,University of Louisville,1,39,379,140,65,17,0.644,0,0.522,9.7,3.6,1.7,0.4,0.9,0.118,-1.9,0,Daryl Morey,3435 days 00:00:00.000000000,34,8,1,1,0,0,0,0
