nba_Year,nba_Tm,nba_Player,nba_Age,nba_G,nba_MP,nba_PER,nba_TS%,nba_3PAr,nba_FTr,nba_ORB%,nba_DRB%,nba_TRB%,nba_AST%,nba_STL%,nba_BLK%,nba_TOV%,nba_USG%,nba_OWS,nba_DWS,nba_WS,nba_WS/48,nba_OBPM,nba_DBPM,nba_BPM,nba_VORP,nba_OWS/48,nba_DWS/48,nba_Shot%,nba_Player ID,nba_Team Mar,nba_Team MP,nba_Team Gm,nba_Year 3PAr,nba_Team TS%,nba_Tm USG,nba_Tm TS W/O Plyr,nba_Reb/Vers,nba_Defense,nba_Val/Shot,nba_Offense,nba_MPG + Int,nba_RAW SPM,nba_%Min,nba_RAW Contrib,nba_Tm Sum,nba_Tm Adj,nba_BPM,nba_StdErr,nba_Contrib,nba_VORP,nba_Reb/Vers,nba_Val/Shot,nba_Offense,nba_Defense,nba_MPG,nba_Raw OBPM,nba_Contrib,nba_Tm Ortg,nba_Tm Sum,nba_Tm Adj,nba_Tm DRtg,nba_OBPM,nba_OStdErr,nba_Ocontrib,nba_OVORP,nba_DBPM,nba_DStdErr,nba_Dcontrib,nba_DVORP,nba_Sum SPM,nba_%Min,nba_MPG,nba_ReMPG,nba_BPM,nba_Contrib,nba_VORP,nba_VORP-Gm,nba_O-BPM,nba_Ocontrib,nba_OVORP,nba_OVORP-Gm,nba_D-BPM,nba_Dcontrib,nba_DVORP,nba_DVORP-Gm,nba_Production,nba_Prod-Gm,nba_Exp BPM,nba_TrueTalentBPM,nba_Exp%Min,nba_TrueTalentVORP,nba_TrueSalary,nba_TrueTimeVORP,nba_Adjusted Production,nba_WORP,nba_O-WORP,nba_D-WORP,nba_Adjusted WORP,nba_Estimated Position,nba_BBRef Pos,nba_Age on Feb 1,nba_Yrs Experience,nba_Height,nba_Weight,nba_Rounded Position,nba_Rounded Age
2016,ATL,Paul Millsap,30,9,312,22.5,0.581,0.333,0.423,5.9,21.4,13.9,18.3,3.3,2.6,12.6,21.5,0.8,0.5,1.3,0.201,3.1,2.9,6,0.6,0.124,0.077,18.8,#NAME?,3.76,2160,9,0.275,0.561,37214,0.557,3.04,2.58,0.16,0.29,0.93,6.84,0.722,4.94,8.75,-0.85,6,3,4.3,5.8,0.9,0.4,1.3,0.5,0.5,3.5,2.5,4,5.5,-0.2,0.1,3.4,2,2.4,3.7,2.6,2.2,1.9,2.1,0.7,0.7,34.7,24,6,4.3,5.8,5.8,3.4,2.4,3.7,3.7,2.6,1.9,2.1,2.1,24200000,24200000,0.1,2.2,0.73,3,13200000,5.8,24300000,15.6,9.9,5.7,15.7,3.6,4,30.97,9,80,246,4,31
2016,ORL,Victor Oladipo,23,8,308,14.5,0.454,0.313,0.134,1.5,18.8,10.5,18.1,2.2,1.9,9.6,22.1,0,0.5,0.5,0.08,-1.2,2.1,0.8,0.2,0.001,0.079,20,#NAME?,-2.11,1994,8,0.275,0.514,34110,0.527,1.34,0.83,-0.04,-1.86,1.13,1.44,0.772,1.11,0.55,-0.62,0.8,3,0.6,2.2,-0.3,0.2,-0.7,0.2,0.6,0,0,-2.5,0.7,-0.7,2,-0.8,2,-0.6,0.7,1.6,2.2,1.2,1.5,-2.3,0.8,38.5,25.7,0.8,0.6,2.2,2.2,-0.8,-0.6,0.7,0.7,1.6,1.2,1.5,1.5,9800000,9800000,-0.4,0,0.51,1,5100000,1.4,6800000,5.9,2,3.9,3.9,2.1,2,23.75,2,76,210,2,24
2016,ORL,Evan Fournier,23,8,302,15.4,0.58,0.408,0.208,0.7,9.9,5.5,10.1,1.6,0,10.3,21,0.5,0.3,0.8,0.127,1.9,-1.2,0.7,0.2,0.079,0.048,18.8,#NAME?,-2.11,1994,8,0.275,0.514,34110,0.501,-2.01,-0.93,0.16,3.22,1.07,1.35,0.757,1.02,0.55,-0.62,0.7,3,0.6,2.1,-1,0.5,3.1,0.1,0.6,3.1,2.4,-2.5,0.7,-0.7,2,2.4,2,1.8,3.1,-1.6,2.2,-1.2,-1,4,0.8,37.8,25.2,0.7,0.6,2.1,2.1,2.4,1.8,3.1,3.1,-1.6,-1.2,-1,-1,9300000,9300000,-0.5,-0.1,0.5,0.9,4800000,1.4,6400000,5.6,8.3,-2.8,3.7,2.3,3,23.26,3,79,205,2,23
2016,IND,George Hill,29,8,299,16.3,0.602,0.495,0.363,1.4,10.3,5.8,15.9,2.4,0.8,13.9,18.2,0.6,0.3,0.9,0.149,3.5,0.3,3.7,0.4,0.099,0.05,15.7,#NAME?,2.07,1919,8,0.275,0.511,32899,0.496,-0.43,0.5,0.34,2.75,1.04,3.87,0.779,3.01,3.15,-0.13,3.7,3,2.9,4.5,-0.4,0.6,2.9,0.3,0.5,3.9,3.1,-3.4,2.4,-1.3,2.1,2.6,2,2,3.4,1.1,2.2,0.9,1.1,1.5,0.8,37.4,24.9,3.7,2.9,4.5,4.5,2.6,2,3.4,3.4,1.1,0.9,1.1,1.1,19000000,19000000,0,1.3,0.7,2.3,10400000,4,17100000,12.1,9.1,3,10.8,1.3,1,29.75,7,75,188,1,30
2016,POR,Damian Lillard,25,8,293,26.3,0.602,0.424,0.242,1.9,7.6,4.8,35.7,1.5,0.5,14.1,31.7,1.3,0.1,1.4,0.231,9.1,-3.4,5.7,0.6,0.214,0.017,27.2,#NAME?,2.08,1921,8,0.275,0.552,32831,0.536,2.57,-0.79,0.57,2.21,0.98,4.97,0.763,3.79,-0.87,0.67,5.6,3.1,4.3,5.8,0.8,0.7,6,0,0.5,8,6.1,3.5,1.8,0.5,-2.4,8.4,2,6.4,7.7,-2.8,2.3,-2.1,-1.9,11.2,0.8,36.6,24.4,5.6,4.3,5.8,5.8,8.4,6.4,7.7,7.7,-2.8,-2.1,-1.9,-1.9,24400000,24400000,-0.1,1.9,0.73,2.8,12400000,5.5,23300000,15.7,20.8,-5.1,15,1,1,25.55,3,75,195,1,26
2016,IND,Paul George,25,8,287,23.8,0.556,0.343,0.413,6.7,19.6,13,26.3,2.3,0.6,15.1,30.8,0.7,0.4,1.1,0.189,6.2,0.9,7.1,0.7,0.12,0.069,26.1,#NAME?,2.07,1919,8,0.275,0.511,32899,0.497,5.25,0.26,0.37,0.79,0.92,7.23,0.748,5.4,3.15,-0.13,7.1,3.1,5.3,6.8,1.8,0.5,3.6,0.3,0.5,6.7,5,-3.4,2.4,-1.3,2.1,5.4,2.1,4,5.3,1.7,2.3,1.3,1.5,3.7,0.7,35.9,23.9,7.1,5.3,6.8,6.8,5.4,4,5.3,5.3,1.7,1.3,1.5,1.5,28400000,28400000,-0.2,2.3,0.73,3.2,13700000,6.6,27500000,18.4,14.3,4.1,17.8,3.1,4,25.75,5,81,220,3,26
2016,ATL,Al Horford,29,9,286,21.5,0.552,0.234,0.141,8.5,19.2,14,14,1.2,4.3,9.9,23.5,0.6,0.3,0.9,0.153,1.5,1.1,2.6,0.3,0.102,0.051,21.2,#NAME?,3.76,2160,9,0.275,0.561,37214,0.563,2.27,0.85,-0.01,-0.35,0.68,3.45,0.662,2.29,8.75,-0.85,2.6,3.1,1.7,3,1.2,0.3,0.4,-0.3,0.4,1.9,1.2,4,5.5,-0.2,0.1,1.7,2.1,1.1,2.3,0.9,2.3,0.6,0.8,0.9,0.7,31.8,22,2.6,1.7,3,3,1.7,1.1,2.3,2.3,0.9,0.6,0.8,0.8,13300000,13300000,-0.4,0.7,0.61,1.6,7500000,2.8,12200000,8.2,6.1,2.1,7.5,4.3,5,29.67,8,82,245,4,30
2016,ATL,Jeff Teague,27,9,284,20.6,0.542,0.218,0.376,1.6,9.1,5.5,33.8,2.2,1.7,16.2,29,0.5,0.2,0.7,0.123,1.3,-1.3,-0.1,0.1,0.087,0.036,24.3,#NAME?,3.76,2160,9,0.275,0.561,37214,0.565,2.71,0.72,0.3,-3.3,0.66,0.79,0.657,0.52,8.75,-0.85,-0.1,3.1,0,1.3,0.7,0.4,0,0.2,0.3,1.6,1.1,4,5.5,-0.2,0.1,1.5,2.1,1,2.1,-1.6,2.3,-1,-0.8,3,0.7,31.6,21.8,-0.1,0,1.3,1.3,1.5,1,2.1,2.1,-1.6,-1,-0.8,-0.8,6100000,6100000,-0.4,-0.3,0.47,0.8,4300000,0.9,4700000,3.5,5.7,-2.2,2.5,1,1,27.64,6,74,186,1,28
2016,CHI,Jimmy Butler,26,8,283,20.6,0.558,0.279,0.441,1.5,13.2,7.7,13.5,2.8,1.7,7,22.1,0.7,0.5,1.2,0.204,2.8,2,4.9,0.5,0.119,0.085,20.6,#NAME?,1.36,1969,8,0.275,0.521,34147,0.514,-0.42,1.48,0.11,2.21,0.88,4.14,0.719,2.97,-2.09,0.75,4.9,3.1,3.5,4.9,-0.6,0.4,2.8,0.4,0.5,3.4,2.5,-2.4,0.1,-0.6,4.1,2.8,2.1,2,3.3,2.1,2.3,1.5,1.7,0.8,0.7,35.4,23.6,4.9,3.5,4.9,4.9,2.8,2,3.3,3.3,2.1,1.5,1.7,1.7,20900000,20900000,-0.4,1.5,0.72,2.5,11000000,4.9,20900000,13.4,8.8,4.6,13.4,2.7,2,26.38,4,79,220,3,26
2016,HOU,James Harden,26,7,276,23.1,0.547,0.497,0.589,2.7,13.7,8.1,27.1,2.1,1.7,15.5,34.7,0.6,0.1,0.7,0.125,5.3,-1.6,3.7,0.4,0.106,0.019,29.3,#NAME?,-2.83,1707,7,0.275,0.529,29000,0.522,3,0.6,0.36,0.55,1.06,5.21,0.808,4.21,3.91,-1.46,3.7,3.1,3,4.6,0.7,0.5,4,0.2,0.6,5.9,4.8,-0.2,3.9,-0.8,-5.4,5.1,2.1,4.1,5.5,-1.3,2.3,-1.1,-0.8,6.4,0.8,39.4,25.1,3.7,3,4.6,4.6,5.1,4.1,5.5,5.5,-1.3,-1.1,-0.8,-0.8,19700000,19700000,-0.7,0.9,0.63,1.8,8300000,3.6,15600000,12.5,14.8,-2.3,9.8,2,2,26.43,6,77,220,2,27
2016,POR,C.J. McCollum,24,8,276,19,0.561,0.343,0.143,2.4,10.4,6.5,15.6,1.1,0.3,9.7,26.1,0.7,0.1,0.8,0.138,3.8,-3,0.8,0.2,0.121,0.017,23.6,#NAME?,2.08,1921,8,0.275,0.552,32831,0.55,0.02,-1.4,0.09,0.68,0.81,0.1,0.718,0.07,-0.87,0.67,0.8,3.1,0.6,2,-0.1,0.4,2.1,-0.1,0.4,2.7,1.9,3.5,1.8,0.5,-2.4,3.1,2.1,2.2,3.5,-2.4,2.3,-1.7,-1.5,5.5,0.7,34.5,23,0.8,0.6,2,2,3.1,2.2,3.5,3.5,-2.4,-1.7,-1.5,-1.5,9000000,9000000,-0.4,0,0.51,1,5100000,1.4,6700000,5.4,9.4,-4,3.8,1.7,2,24.37,2,76,200,2,24
2016,DET,Marcus Morris,26,7,272,15.5,0.513,0.253,0.343,5.5,12,8.6,8.9,1.7,0.6,10.2,19.8,0.4,0.4,0.8,0.145,1.9,1.4,3.3,0.4,0.073,0.073,17.8,#NAME?,7.59,1704,7,0.275,0.5,29418,0.497,-0.81,-0.49,-0.04,1.17,1.02,0.88,0.798,0.7,-2.74,2.37,3.2,3.1,2.6,4.2,0.1,0.3,0.5,0.1,0.5,1.5,1.2,-0.9,1.2,-0.5,3.9,1,2.1,0.8,2.2,2.2,2.3,1.8,2,-1.2,0.8,38.9,24.7,3.2,2.6,4.2,4.2,1,0.8,2.2,2.2,2.2,1.8,2,2,17900000,17900000,0.8,1.6,0.73,2.6,11600000,3.8,16300000,11.3,5.8,5.5,10.3,3.5,3,26.42,4,81,235,3,26
2016,GSW,Stephen Curry,27,8,270,37.4,0.71,0.547,0.333,2.5,13.7,8.4,30.6,3.3,0.5,11.2,31.7,1.9,0.6,2.5,0.446,14.9,1.1,16,1.2,0.339,0.107,28.1,#NAME?,14.55,1921,8,0.275,0.571,33493,0.531,3.86,1.47,0.75,8.53,0.74,14.6,0.703,10.26,10.63,1.37,16,3.1,11.2,12.6,1,0.9,12,0.6,0.4,14.9,10.4,10.7,8.7,0.8,6.9,15.7,2.1,11,12.2,0.3,2.3,0.2,0.4,15.4,0.7,33.8,22.5,16,11.2,12.6,12.6,15.7,11,12.2,12.2,0.3,0.2,0.4,0.4,51800000,51800000,1.3,6.3,0.73,6,25300000,13,53400000,34.1,33,1.1,35.2,1.1,1,27.89,6,75,185,1,28
