draft_Pk,draft_Team,draft_Player,Roster,draft_College,draft_attend_college,draft_Yrs,draft_Games,draft_Minutes.Played,draft_PTS,draft_TRB,draft_AST,draft_FG_Percentage,draft_TP_Percentage,draft_FT_Percentage,draft_Minutes.per.Game,draft_Points.per.Game,draft_TRB.per.game,draft_Assits.per.Game,draft_Win.Share,draft_WS_per_game,draft_BPM,draft_VORP
1,PHI,Ben Simmons,1,Louisiana State University,1,1,81,2732,1279,659,661,0.545,0,0.56,33.7,15.8,8.1,8.2,9.2,0.162,4.6,4.6
2,LAL,Brandon Ingram,0,Duke University,1,2,138,4254,1689,630,396,0.438,0.329,0.655,30.8,12.2,4.6,2.9,2.5,0.028,-2.6,-0.7
3,BOS,Jaylen Brown,1,University of California,1,2,148,3493,1532,567,178,0.461,0.379,0.658,23.6,10.4,3.8,1.2,6,0.082,-1.6,0.3
4,PHO,Dragan Bender,0,,0,2,125,2643,677,464,153,0.378,0.345,0.694,21.1,5.4,3.7,1.2,-0.3,-0.005,-3,-0.7
5,MIN,Kris Dunn,0,Providence College,1,2,130,2858,992,387,498,0.413,0.309,0.69,22,7.6,3,3.8,1,0.016,-1.1,0.7
6,NOP,Buddy Hield,0,University of Oklahoma,1,2,162,3912,1945,576,276,0.437,0.412,0.86,24.1,12,3.6,1.7,4.1,0.05,-1.4,0.6
7,DEN,Jamal Murray,0,University of Kentucky,1,2,163,4329,2163,511,444,0.432,0.359,0.898,26.6,13.3,3.1,2.7,6.9,0.076,-1.2,0.9
8,SAC,Marquese Chriss,0,University of Washington,1,2,154,3270,1309,743,143,0.438,0.309,0.617,21.2,8.5,4.8,0.9,2.5,0.037,-1.8,0.2
9,TOR,Jakob Poeltl,1,University of Utah,1,2,136,2150,732,558,69,0.641,0.5,0.576,15.8,5.4,4.1,0.5,7.2,0.161,2.2,2.3
10,MIL,Thon Maker,1,,0,2,131,1800,582,339,69,0.429,0.331,0.683,13.7,4.4,2.6,0.5,2.8,0.074,-2.3,-0.1
