draft_Player,draft_All_NBA,draft_All.Star,draft_Draft_Yr,draft_Pk,draft_Team,draft_College,draft_Yrs,draft_Games,draft_Minutes.Played,draft_PTS,draft_TRB,draft_AST,draft_FG_Percentage,draft_TP_Percentage,draft_FT_Percentage,draft_Minutes.per.Game,draft_Points.per.Game,draft_TRB.per.game,draft_Assits.per.Game,draft_Win.Share,draft_WS_per_game,draft_BPM,draft_VORP,draft_Executive,draft_Tenure,draft_Exec_ID,draft_Exec_draft_exp,draft_attend_college,draft_first_year,draft_second_year,draft_third_year,draft_fourth_year,draft_fifth_year,nba_Year_x,nba_Player,nba_Production,nba_TrueSalary,nba_Height,nba_Weight,Roster,nba_Year_y,nba_Pos,nba_Age,nba_Tm,nba_G,nba_GS,nba_MP,nba_PER,nba_TS%,nba_3PAr,nba_FTr,nba_ORB%,nba_DRB%,nba_TRB%,nba_AST%,nba_STL%,nba_BLK%,nba_TOV%,nba_USG%,nba_blanl,nba_OWS,nba_DWS,nba_WS,nba_WS/48,nba_blank2,nba_OBPM,nba_DBPM,nba_BPM,nba_VORP,nba_FG,nba_FGA,nba_FG%,nba_3P,nba_3PA,nba_3P%,nba_2P,nba_2PA,nba_2P%,nba_eFG%,nba_FT,nba_FTA,nba_FT%,nba_ORB,nba_DRB,nba_TRB,nba_AST,nba_STL,nba_BLK,nba_TOV,nba_PF,nba_PTS,Traded
Speedy Claxton,0,0,2000,20,PHI,Hofstra University,7,334,8548,3096,830,1441,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,-0.7,2.8,Billy King,3486 days 00:00:00.000000000,10,3,1,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Karcher,0,0,2000,48,PHI,Temple University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Billy King,3486 days 00:00:00.000000000,10,3,1,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stromile Swift,0,0,2000,2,MEM,Louisiana State University,9,547,10804,4582,2535,275,0.473,0.07400000000000001,0.6990000000000001,19.8,8.4,4.6,0.5,21.3,0.095,-1.9,0.2,Billy Knight,709 days 00:00:00.000000000,11,1,1,0,0,0,0,0,2001.0,Stromile Swift,"$1,700,000 ",800000.0,81.0,225.0,1.0,2001.0,PF,21.0,MEM,80.0,6.0,1312.0,13.1,0.48700000000000004,0.012,0.41600000000000004,9.6,15.1,12.4,3.5,2.5,4.3,13.8,16.2,,0.2,1.6,1.9,0.069,,-3.4,1.9,-1.5,0.2,153.0,339.0,0.451,0.0,4.0,0.0,153.0,335.0,0.457,0.451,85.0,141.0,0.603,109.0,175.0,284.0,28.0,62.0,82.0,64.0,160.0,391.0,0
Jamaal Magloire,0,0,2000,19,NOH,University of Kentucky,12,680,14621,4917,4408,386,0.48,0.0,0.639,21.5,7.2,6.5,0.6,27.7,0.091,-2.9,-3.3,Bob Bass,3292 days 00:00:00.000000000,13,19,1,0,0,0,0,0,2001.0,Jamaal Magloire,$0 ,700000.0,83.0,259.0,1.0,2001.0,C,22.0,CHH,74.0,0.0,1095.0,13.4,0.506,0.006999999999999999,0.535,10.8,19.9,15.4,4.2,0.9,5.2,15.4,16.7,,0.6,2.0,2.6,0.114,,-4.2,1.4,-2.8,-0.2,122.0,271.0,0.45,0.0,2.0,0.0,122.0,269.0,0.45399999999999996,0.45,95.0,145.0,0.655,103.0,192.0,295.0,27.0,18.0,78.0,61.0,139.0,339.0,1
Erick Barkley,0,0,2000,28,POR,St. John's University,2,27,266,77,21,40,0.35600000000000004,0.267,0.9,9.9,2.9,0.8,1.5,0.2,0.027000000000000003,-3.8,-0.1,Bob Whitsitt,3275 days 00:00:00.000000000,19,14,1,0,0,0,0,0,2001.0,Erick Barkley,"$800,000 ",,73.0,177.0,1.0,2001.0,PG,22.0,POR,8.0,0.0,38.0,10.3,0.43200000000000005,0.364,0.0,0.0,9.1,4.7,28.8,2.8,0.0,18.5,33.0,,-0.1,0.0,-0.1,-0.075,,-3.4,-3.6,-7.0,0.0,8.0,22.0,0.364,3.0,8.0,0.375,5.0,14.0,0.35700000000000004,0.43200000000000005,0.0,0.0,,0.0,3.0,3.0,6.0,2.0,0.0,5.0,2.0,19.0,0
Jake Tsakalidis,0,0,2000,25,PHO,0,7,315,5005,1497,1238,101,0.49,0.0,0.657,15.9,4.8,3.9,0.3,9.9,0.095,-3.1,-1.3,Bryan Colangelo,4387 days 00:00:00.000000000,21,6,0,0,0,0,0,0,2001.0,Jake Tsakalidis,"($1,000,000)",600000.0,86.0,285.0,1.0,2001.0,C,21.0,PHO,57.0,39.0,947.0,9.6,0.502,0.0,0.423,9.8,19.4,14.5,3.2,0.5,4.2,20.6,15.1,,-0.3,1.6,1.3,0.067,,-5.3,1.5,-3.9,-0.4,101.0,215.0,0.47,0.0,0.0,,101.0,215.0,0.47,0.47,54.0,91.0,0.593,83.0,159.0,242.0,19.0,10.0,55.0,66.0,137.0,256.0,0
Joel Przybilla,0,0,2000,9,HOU,University of Minnesota,13,592,11733,2293,3665,256,0.552,0.0,0.557,19.8,3.9,6.2,0.4,23.0,0.094,-0.9,3.3,Carroll Dawson,3901 days 00:00:00.000000000,25,4,1,0,0,0,0,0,2001.0,Joel Przybilla,"$400,000 ",,85.0,255.0,1.0,2001.0,C,21.0,MIL,33.0,13.0,270.0,5.9,0.33899999999999997,0.0,0.314,12.3,17.5,14.9,1.0,0.6,8.2,24.6,8.9,,-0.2,0.3,0.1,0.018000000000000002,,-6.4,2.5,-3.9,-0.1,12.0,35.0,0.34299999999999997,0.0,0.0,,12.0,35.0,0.34299999999999997,0.34299999999999997,3.0,11.0,0.273,29.0,42.0,71.0,2.0,3.0,30.0,13.0,56.0,27.0,1
Eduardo Najera,0,0,2000,38,HOU,University of Oklahoma,12,619,11213,3052,2307,493,0.48100000000000004,0.311,0.6709999999999999,18.1,4.9,3.7,0.8,24.7,0.106,0.3,6.4,Carroll Dawson,3901 days 00:00:00.000000000,25,4,1,0,0,0,0,0,2001.0,Eduardo Najera,"$2,000,000 ",1500000.0,80.0,240.0,1.0,2001.0,PF,24.0,DAL,40.0,4.0,431.0,14.0,0.522,0.027000000000000003,0.297,10.9,13.6,12.3,9.7,1.6,1.3,11.9,15.0,,0.6,0.4,1.1,0.12,,-0.2,0.3,0.1,0.2,58.0,111.0,0.523,1.0,3.0,0.33299999999999996,57.0,108.0,0.528,0.527,14.0,33.0,0.424,41.0,54.0,95.0,27.0,13.0,8.0,17.0,48.0,131.0,1
Mamadou N'Diaye,0,0,2000,26,DEN,Auburn University,5,69,858,262,225,8,0.42700000000000005,0.0,0.736,12.4,3.8,3.3,0.1,1.8,0.10099999999999999,-5.3,-0.7,Dan Issel,1233 days 00:00:00.000000000,31,3,1,0,0,0,0,0,2001.0,Mamadou N'Diaye,"$900,000 ",,84.0,255.0,1.0,2001.0,C,25.0,TOR,3.0,0.0,10.0,6.6,0.41,0.0,0.5,11.0,11.6,11.3,0.0,0.0,0.0,0.0,21.8,,0.0,0.0,0.0,0.083,,-5.2,-8.3,-13.6,0.0,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,1
Dan McClintock,0,0,2000,53,DEN,Northern Arizona University,1,6,58,18,17,1,0.5,0.0,0.0,9.7,3.0,2.8,0.2,0.0,0.006999999999999999,-6.6,-0.1,Dan Issel,1233 days 00:00:00.000000000,31,3,1,0,0,0,0,0,2001.0,Dan McClintock,"$700,000 ",,84.0,270.0,1.0,2001.0,C,23.0,DEN,6.0,1.0,58.0,9.9,0.446,0.0,0.278,18.5,13.3,15.9,2.9,0.0,2.4,12.9,17.8,,0.0,0.0,0.0,0.006999999999999999,,-3.4,-3.2,-6.6,-0.1,9.0,18.0,0.5,0.0,0.0,,9.0,18.0,0.5,0.5,0.0,5.0,0.0,10.0,7.0,17.0,1.0,0.0,2.0,3.0,11.0,18.0,0
Etan Thomas,0,0,2000,12,DAL,Syracuse University,9,409,7084,2341,1927,149,0.513,0.0,0.603,17.3,5.7,4.7,0.4,14.9,0.10099999999999999,-2.6,-1.0,Don Nelson,2962 days 00:00:00.000000000,49,21,1,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Langhi,0,0,2000,31,DAL,Vanderbilt University,4,133,1253,393,199,39,0.391,0.289,0.613,9.4,3.0,1.5,0.3,0.3,0.012,-6.8,-1.5,Don Nelson,2962 days 00:00:00.000000000,49,21,1,0,0,0,0,0,2001.0,Dan Langhi,"($1,100,000)",,83.0,220.0,1.0,2001.0,SF,23.0,HOU,33.0,0.0,241.0,9.4,0.40299999999999997,0.01,0.293,6.4,13.1,9.8,2.8,1.5,0.3,6.7,22.9,,-0.2,0.2,-0.1,-0.013999999999999999,,-6.0,-3.8,-9.8,-0.5,37.0,99.0,0.374,0.0,1.0,0.0,37.0,98.0,0.37799999999999995,0.374,16.0,29.0,0.552,13.0,28.0,41.0,4.0,7.0,1.0,8.0,16.0,90.0,1
Pete Mickeal,0,0,2000,58,DAL,University of Cincinnati,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,2962 days 00:00:00.000000000,49,21,1,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primoz Brezec,0,0,2000,27,IND,0,8,342,6192,2452,1327,179,0.498,0.16699999999999998,0.701,18.1,7.2,3.9,0.5,10.8,0.084,-2.5,-0.8,Donnie Walsh,6291 days 00:00:00.000000000,51,15,0,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaquay Walls,0,0,2000,56,IND,University of Colorado,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Donnie Walsh,6291 days 00:00:00.000000000,51,15,1,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Miles,0,0,2000,3,LAC,0,7,446,11730,4507,2190,840,0.47200000000000003,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1.2,2.3,Elgin Baylor,8211 days 00:00:00.000000000,55,15,0,0,0,0,0,0,2001.0,Darius Miles,"$5,500,000 ",4400000.0,81.0,210.0,1.0,2001.0,SF,19.0,LAC,81.0,21.0,2133.0,14.7,0.518,0.03,0.37799999999999995,7.0,18.3,12.8,8.1,1.3,4.1,16.7,19.1,,0.5,2.6,3.0,0.068,,-2.1,2.0,-0.1,1.0,318.0,630.0,0.505,1.0,19.0,0.053,317.0,611.0,0.519,0.506,124.0,238.0,0.521,127.0,350.0,477.0,99.0,51.0,125.0,147.0,191.0,761.0,0
Quentin Richardson,0,0,2000,18,LAC,DePaul University,13,783,20785,8032,3666,1138,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076,-0.3,8.9,Elgin Baylor,8211 days 00:00:00.000000000,55,15,1,0,0,0,0,0,2001.0,Quentin Richardson,"$3,500,000 ",1900000.0,78.0,223.0,1.0,2001.0,SG,20.0,LAC,76.0,28.0,1358.0,16.5,0.516,0.28800000000000003,0.301,9.1,12.5,10.8,8.3,1.7,0.4,9.7,22.4,,2.1,1.0,3.0,0.106,,1.6,-1.9,-0.3,0.6,232.0,525.0,0.442,50.0,151.0,0.331,182.0,374.0,0.48700000000000004,0.49,99.0,158.0,0.627,105.0,152.0,257.0,62.0,42.0,7.0,64.0,98.0,613.0,0
Marko Jaric,0,0,2000,30,LAC,0,7,447,11246,3193,1200,1600,0.40399999999999997,0.344,0.73,25.2,7.1,2.7,3.6,12.1,0.052000000000000005,-0.5,4.3,Elgin Baylor,8211 days 00:00:00.000000000,55,15,0,0,0,0,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Redd,1,1,2000,43,MIL,Ohio State University,12,629,20104,11972,2411,1338,0.447,0.38,0.838,32.0,19.0,3.8,2.1,55.9,0.134,0.9,14.9,Ernie Grunfeld,1416 days 00:00:00.000000000,56,7,1,0,0,0,0,0,2001.0,Michael Redd,"$500,000 ",,78.0,220.0,1.0,2001.0,SG,21.0,MIL,6.0,0.0,35.0,3.4,0.3,0.158,0.316,9.8,3.2,6.5,4.4,1.5,0.0,4.4,29.3,,-0.1,0.0,-0.1,-0.163,,-7.8,-6.5,-14.3,-0.1,5.0,19.0,0.263,0.0,3.0,0.0,5.0,16.0,0.313,0.263,3.0,6.0,0.5,3.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,13.0,0
Jason Collier,0,0,2000,15,MIL,Georgia Institute of Technology,5,151,2178,841,443,51,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,-6.3,-2.3,Ernie Grunfeld,1416 days 00:00:00.000000000,56,7,1,0,0,0,0,0,2001.0,Jason Collier,"($500,000)",,84.0,260.0,1.0,2001.0,C,23.0,HOU,23.0,0.0,222.0,7.4,0.435,0.013999999999999999,0.33799999999999997,6.4,12.7,9.6,4.4,0.5,0.9,11.9,19.2,,-0.1,0.1,0.0,-0.001,,-5.2,-2.8,-8.0,-0.3,27.0,71.0,0.38,0.0,1.0,0.0,27.0,70.0,0.386,0.38,17.0,24.0,0.708,12.0,25.0,37.0,6.0,2.0,3.0,11.0,27.0,71.0,1
