draft_id,draft_Player,draft_All_NBA,draft_All_Star,draft_Draft_Yr,draft_Pk,draft_Team,draft_College,draft_Yrs,draft_Games,draft_Minutes_Played,draft_PTS,draft_TRB,draft_AST,draft_FG_Percentage,draft_TP_Percentage,draft_FT_Percentage,draft_Minutes_per_Game,draft_Points_per_Game,draft_TRB_per_game,draft_Assits_per_Game,draft_Win_Share,draft_WS_per_game,draft_BPM,draft_VORP,draft_Executive,draft_Tenure,draft_Exec_ID,draft_Exec_draft_exp,draft_attend_college,draft_first_year,draft_second_year,draft_third_year,draft_fourth_year,draft_fifth_year,nba_Year,nba_Tm,nba_Player,nba_Age,nba_G,nba_MP,nba_PER,nba_TS%,nba_3PAr,nba_FTr,nba_ORB%,nba_DRB%,nba_TRB%,nba_AST%,nba_STL%,nba_BLK%,nba_TOV%,nba_USG%,nba_OWS,nba_DWS,nba_WS,nba_WS/48,nba_OBPM,nba_DBPM,nba_BPM,nba_VORP,nba_OWS/48,nba_DWS/48,nba_Shot%,nba_Player ID,nba_Team Mar,nba_Team MP,nba_Team Gm,nba_Year 3PAr,nba_Team TS%,nba_Tm USG,nba_Tm TS W/O Plyr,nba_Reb/Vers,nba_Defense,nba_Val/Shot,nba_Offense,nba_MPG + Int,nba_RAW SPM,nba_%Min,nba_RAW Contrib,nba_Tm Sum,nba_Tm Adj,nba_BPM.1,nba_StdErr,nba_Contrib,nba_VORP.1,nba_Reb/Vers.1,nba_Val/Shot.1,nba_Offense.1,nba_Defense.1,nba_MPG,nba_Raw OBPM,nba_Contrib.1,nba_Tm Ortg,nba_Tm Sum.1,nba_Tm Adj.1,nba_Tm DRtg,nba_OBPM.1,nba_OStdErr,nba_Ocontrib,nba_OVORP,nba_DBPM.1,nba_DStdErr,nba_Dcontrib,nba_DVORP,nba_Sum SPM,nba_%Min.1,nba_MPG.1,nba_ReMPG,nba_BPM.2,nba_Contrib.2,nba_VORP.2,nba_VORP-Gm,nba_O-BPM,nba_Ocontrib.1,nba_OVORP.1,nba_OVORP-Gm,nba_D-BPM,nba_Dcontrib.1,nba_DVORP.1,nba_DVORP-Gm,nba_Production,nba_Prod-Gm,nba_Exp BPM,nba_TrueTalentBPM,nba_Exp%Min,nba_TrueTalentVORP,nba_TrueSalary,nba_TrueTimeVORP,nba_Adjusted Production,nba_WORP,nba_O-WORP,nba_D-WORP,nba_Adjusted WORP,nba_Estimated Position,nba_BBRef Pos,nba_Age on Feb 1,nba_Yrs Experience,nba_Height,nba_Weight,nba_Rounded Position,nba_Rounded Age
275,Pat Connaughton,0,0,2015,41,NJN,University of Notre Dame,1,34,143,36,32,10,0.265,0.23800000000000002,1.0,4.2,1.1,0.9,0.3,-0.2,-0.076,-8.2,-0.2,Billy King,2006 days 00:00:00.000000000,10,14,1,1,0,0,0,0,2016,POR,Pat Connaughton,23,2,6,17.8,0.644,0.33299999999999996,0.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,35.5,0.0,0.0,0.0,0.085,-1.7,-9.2,-10.9,0.0,0.043,0.043,28.2,#NAME?,2.08,1921,8,0.275,0.552,32831,0.552,-6.01,-2.94,-0.01,-0.73,-1.91,-11.59,0.016,-0.18,-0.87,0.67,-10.9,11.8,-0.2,-0.1,-1.9,0.4,0.2,-0.5,-1.0,-2.9,0.0,3.5,1.8,0.5,-2.4,-2.4,8.0,0.0,0.0,-8.5,8.5,-0.1,-0.1,6.1,0.0,3.0,1.0,-10.9,-0.2,-0.1,-0.6,-2.4,0.0,0.0,0.0,-8.5,-0.1,-0.1,-0.5,400000.0,-1200000.0,-5.0,-5.2,0.0,0.0,,0.0,,-0.4,0.0,-0.3,0.0,1.8,2.0,23.07,0.0,77.0,206.0,2.0,23.0
896,Marcus Thornton,0,0,2015,45,BOS,College of William & Mary,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0,2016,HOU,Marcus Thornton,28,5,177,15.7,0.5529999999999999,0.493,0.0,5.4,8.8,7.1,11.3,1.6,0.0,7.4,19.5,0.3,0.0,0.3,0.08900000000000001,3.2,-2.7,0.5,0.1,0.085,0.004,18.1,#NAME?,-2.83,1707,7,0.275,0.529,29000,0.526,-0.19,-0.93,0.1,2.68,0.39,1.94,0.518,1.01,3.91,-1.46,0.5,3.5,0.3,1.3,0.4,0.4,2.7,0.1,0.2,3.8,2.0,-0.2,3.9,-0.8,-5.4,2.9,2.3,1.5,2.4,-2.4,2.6,-1.3,-1.1,5.4,0.5,35.4,19.7,0.5,0.3,1.3,1.8,2.9,1.5,2.4,3.4,-2.4,-1.3,-1.1,-1.5,6200000.0,8300000.0,-1.8,-1.1,0.34,0.3,2200000.0,0.9,4400000.0,3.5,6.5,-3.0,2.3,1.9,2.0,28.66,6.0,76.0,205.0,2.0,29.0
897,Terry Rozier,0,0,2015,16,BOS,University of Louisville,1,39,311,72,63,37,0.27399999999999997,0.222,0.8,8.0,1.8,1.6,0.9,-0.3,-0.047,-6.6,-0.4,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0,2016,BOS,Terry Rozier,21,3,27,-5.2,0.179,0.28600000000000003,0.0,10.8,15.6,13.1,15.9,0.0,0.0,12.5,24.1,-0.2,0.0,-0.1,-0.25,-9.9,-2.1,-12.1,-0.1,-0.303,0.053,21.1,#NAME?,2.68,1198,5,0.275,0.514,20514,0.523,3.4,-2.94,-0.63,-10.85,-1.56,-11.95,0.113,-1.35,3.65,-0.09,-12.0,6.4,-1.4,-1.1,2.1,-0.4,-9.5,-0.5,-0.8,-9.0,-1.0,-1.4,3.5,-1.0,4.8,-10.1,4.3,-1.1,-0.9,-2.0,4.7,-0.2,-0.2,-8.1,0.1,9.0,3.9,-12.0,-1.4,-1.1,-1.9,-10.1,-1.1,-0.9,-1.6,-2.0,-0.2,-0.2,-0.3,-3600000.0,-6600000.0,-4.3,-5.2,0.0,0.0,,0.0,,-3.1,-2.6,-0.5,0.0,1.7,1.0,21.88,0.0,74.0,190.0,2.0,22.0
898,R.J. Hunter,0,0,2015,28,BOS,Georgia State University,1,36,315,97,37,13,0.36700000000000005,0.302,0.857,8.8,2.7,1.0,0.4,0.3,0.045,-3.5,-0.1,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0,2016,BOS,R.J. Hunter,22,2,17,-12.9,0.2,0.6,0.0,0.0,6.2,3.0,0.0,0.0,0.0,16.7,14.4,-0.1,0.0,-0.1,-0.207,-10.7,-3.4,-14.1,-0.1,-0.245,0.038,12.0,#NAME?,2.68,1198,5,0.275,0.514,20514,0.517,-6.95,-2.94,-0.75,-2.41,-1.68,-13.98,0.071,-0.99,3.65,-0.09,-14.1,7.7,-1.0,-0.9,-2.6,-0.3,-5.5,-0.5,-0.9,-9.8,-0.7,-1.4,3.5,-1.0,4.8,-10.9,5.2,-0.8,-0.7,-3.2,5.6,-0.2,-0.2,-7.7,0.1,8.5,2.8,-14.1,-1.0,-0.9,-2.1,-10.9,-0.8,-0.7,-1.6,-3.2,-0.2,-0.2,-0.5,-2400000.0,-7600000.0,-4.6,-5.3,0.0,0.0,,0.0,,-2.3,-1.8,-0.6,0.0,1.8,2.0,22.27,0.0,77.0,185.0,2.0,22.0
899,Jordan Mickey,0,0,2015,33,BOS,Louisiana State University,1,16,57,21,13,1,0.364,0.0,0.5,3.6,1.3,0.8,0.1,0.1,0.068,-3.2,0.0,Danny Ainge,4893 days 00:00:00.000000000,32,13,1,1,0,0,0,0,2016,BOS,Jordan Mickey,21,2,5,64.9,0.753,0.0,1.5,38.9,21.1,30.3,35.0,0.0,15.3,0.0,27.0,0.1,0.0,0.1,0.917,23.0,9.8,32.8,0.0,0.9390000000000001,-0.022000000000000002,27.0,#NAME?,2.68,1198,5,0.275,0.514,20514,0.512,19.09,5.19,0.78,10.52,-1.93,32.87,0.021,0.69,3.65,-0.09,32.8,12.8,0.7,0.7,11.8,0.8,13.5,-1.3,-1.0,23.9,0.5,-1.4,3.5,-1.0,4.8,22.9,8.7,0.5,0.5,9.9,9.2,0.2,0.2,12.9,0.0,2.5,0.8,32.8,0.7,0.7,1.8,22.9,0.5,0.5,1.3,9.9,0.2,0.2,0.5,3900000.0,8300000.0,-5.0,-3.8,0.0,0.0,,0.0,,2.0,1.4,0.6,0.0,4.8,4.0,21.57,0.0,80.0,235.0,5.0,22.0
928,Sam Dekker,0,0,2015,18,HOU,University of Wisconsin,1,3,6,0,1,0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0.0,0.11599999999999999,0.5,0.0,Daryl Morey,3435 days 00:00:00.000000000,34,8,1,1,0,0,0,0,2016,HOU,Sam Dekker,21,3,6,10.9,0.0,0.0,0.0,0.0,18.6,9.1,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.095,-4.8,6.0,1.2,0.0,0.048,0.048,0.0,#NAME?,-2.83,1707,7,0.275,0.529,29000,0.529,-8.82,7.23,-1.35,6.21,-1.93,2.69,0.018000000000000002,0.05,3.91,-1.46,1.2,11.8,0.0,0.1,-3.9,-1.0,-0.6,2.3,-1.0,-4.2,-0.1,-0.2,3.9,-0.8,-5.4,-5.0,8.0,-0.1,-0.1,6.2,8.5,0.1,0.1,-11.2,0.0,2.0,0.9,1.2,0.0,0.1,0.1,-5.0,-0.1,-0.1,-0.1,6.2,0.1,0.1,0.3,1200000.0,1500000.0,-5.8,-5.5,0.0,0.0,,0.0,,0.2,-0.2,0.3,0.0,3.6,3.0,21.74,0.0,81.0,230.0,4.0,22.0
929,Montrezl Harrell,0,0,2015,32,HOU,University of Louisville,1,39,379,140,65,17,0.644,0.0,0.522,9.7,3.6,1.7,0.4,0.9,0.11800000000000001,-1.9,0.0,Daryl Morey,3435 days 00:00:00.000000000,34,8,1,1,0,0,0,0,2016,HOU,Montrezl Harrell,22,7,76,18.6,0.701,0.0,0.429,8.4,11.7,10.0,2.4,0.6,2.0,10.7,15.7,0.2,0.0,0.2,0.147,0.7,-2.8,-2.0,0.0,0.13699999999999998,0.01,14.0,#NAME?,-2.83,1707,7,0.275,0.529,29000,0.522,-3.22,-1.13,0.1,4.95,-1.18,-0.57,0.223,-0.13,3.91,-1.46,-2.0,4.5,-0.5,0.0,-0.2,0.5,2.1,-0.4,-0.6,1.4,0.3,-0.2,3.9,-0.8,-5.4,0.5,3.0,0.1,0.5,-2.6,3.3,-0.6,-0.5,3.1,0.2,10.9,6.9,-2.0,-0.5,0.0,0.0,0.5,0.1,0.5,0.5,-2.6,-0.6,-0.5,-0.5,1000000.0,1000000.0,-4.5,-4.0,0.0,0.0,,0.0,,0.0,1.3,-1.4,0.0,3.6,4.0,22.02,0.0,80.0,240.0,4.0,22.0
1044,Trey Lyles,0,0,2015,12,UTA,University of Kentucky,1,80,1382,488,299,59,0.43799999999999994,0.38299999999999995,0.695,17.3,6.1,3.7,0.7,2.3,0.079,-2.8,-0.3,Dennis Lindsey,1515 days 00:00:00.000000000,45,3,1,1,0,0,0,0,2016,UTA,Trey Lyles,20,6,38,-1.5,0.203,0.077,0.308,14.5,14.6,14.5,7.7,1.4,0.0,11.9,20.0,-0.2,0.1,-0.1,-0.107,-8.2,0.3,-7.8,-0.1,-0.243,0.136,17.6,#NAME?,7.46,1439,6,0.275,0.504,25243,0.512,1.19,-1.19,-0.76,-7.85,-1.56,-9.41,0.132,-1.24,1.0,1.59,-7.8,5.7,-1.0,-0.8,2.1,-0.4,-8.6,0.0,-0.8,-7.7,-1.0,-0.7,0.1,-0.2,10.0,-7.9,3.8,-1.0,-0.8,0.1,4.1,0.0,0.1,-8.0,0.1,6.3,3.8,-7.8,-1.0,-0.8,-0.8,-7.9,-1.0,-0.8,-0.8,0.1,0.0,0.1,0.1,-2100000.0,-2100000.0,-3.7,-4.2,0.0,0.0,,0.0,,-2.1,-2.2,0.1,0.0,4.1,4.0,20.24,0.0,82.0,234.0,4.0,20.0
1211,Justin Anderson,0,0,2015,21,DAL,University of Virginia,1,55,647,208,132,29,0.406,0.265,0.8,11.8,3.8,2.4,0.5,1.1,0.083,-1.2,0.1,Donn Nelson,4213 days 00:00:00.000000000,50,9,1,1,0,0,0,0,2016,DAL,Justin Anderson,22,5,30,3.7,0.321,0.429,0.0,3.3,24.0,13.5,5.3,1.6,2.7,12.5,23.5,-0.1,0.1,-0.1,-0.133,-9.2,1.1,-8.2,0.0,-0.22699999999999998,0.094,20.6,#NAME?,-1.8,1438,6,0.275,0.511,25620,0.516,-3.1,0.5,-0.47,-4.96,-1.62,-9.18,0.10400000000000001,-0.96,-7.22,1.01,-8.2,6.2,-0.9,-0.6,-1.8,-0.1,-5.1,-0.1,-0.8,-7.9,-0.8,-1.8,1.8,-0.8,0.9,-8.7,4.2,-0.9,-0.7,0.5,4.5,0.1,0.1,-9.2,0.1,6.0,3.3,-8.2,-0.9,-0.6,-0.8,-8.7,-0.9,-0.7,-0.9,0.5,0.1,0.1,0.1,-1600000.0,-2100000.0,-5.1,-5.5,0.0,0.0,,0.0,,-1.7,-2.0,0.2,0.0,3.3,2.0,22.2,0.0,78.0,228.0,3.0,22.0
1440,Jerian Grant,0,0,2015,19,WAS,University of Notre Dame,1,76,1265,426,143,177,0.39399999999999996,0.22,0.78,16.6,5.6,1.9,2.3,0.8,0.03,-3.4,-0.5,Ernie Grunfeld,4841 days 00:00:00.000000000,56,22,1,1,0,0,0,0,2016,NYK,Jerian Grant,23,7,156,12.8,0.496,0.214,0.452,1.3,12.0,6.5,28.0,2.2,0.0,16.6,16.4,0.2,0.1,0.3,0.09,-1.1,-0.7,-1.8,0.0,0.06,0.03,13.7,#NAME?,-3.37,1681,7,0.275,0.508,29296,0.509,2.13,-0.18,0.22,-2.73,-0.28,-1.07,0.46399999999999997,-0.5,-0.18,-0.77,-1.8,3.6,-0.9,0.1,0.3,0.4,-0.9,0.3,-0.1,-0.2,-0.1,0.9,2.5,-0.3,-1.1,-0.4,2.4,-0.2,0.6,-1.4,2.6,-0.6,-0.5,1.0,0.5,22.3,14.2,-1.8,-0.9,0.1,0.1,-0.4,-0.2,0.6,0.6,-1.4,-0.6,-0.5,-0.5,1300000.0,1300000.0,-3.0,-2.7,0.12,-0.1,700000.0,0.0,1100000.0,0.2,1.6,-1.4,0.0,1.3,1.0,23.31,0.0,76.0,195.0,1.0,23.0
1450,Karl-Anthony Towns,0,0,2015,1,MIN,University of Kentucky,1,82,2627,1503,857,161,0.542,0.341,0.8109999999999999,32.0,18.3,10.5,2.0,8.3,0.151,2.8,3.1,Flip Saunders,905 days 00:00:00.000000000,57,3,1,1,0,0,0,0,2016,MIN,Karl-Anthony Towns,20,6,173,21.9,0.5539999999999999,0.039,0.237,9.9,27.0,18.9,7.8,0.3,8.4,10.6,23.8,0.3,0.4,0.7,0.198,-0.4,4.4,4.0,0.3,0.085,0.113,21.3,#NAME?,3.97,1466,6,0.275,0.53,25298,0.526,-0.09,1.9,-0.09,0.07,0.1,1.98,0.59,1.17,-5.34,2.02,4.0,3.5,2.4,3.5,0.2,0.2,-0.2,-0.8,0.1,-0.5,-0.3,-1.2,-2.9,0.3,4.6,-0.2,2.3,-0.1,0.9,4.2,2.6,2.5,2.7,-4.5,0.6,28.8,17.3,4.0,2.4,3.5,3.5,-0.2,-0.1,0.9,0.9,4.2,2.5,2.7,2.7,15300000.0,15300000.0,-1.3,0.2,0.54,1.2,5900000.0,3.3,14100000.0,9.6,2.3,7.2,8.8,5.0,5.0,20.21,0.0,84.0,244.0,5.0,20.0
1533,Bobby Portis,0,0,2015,22,CHI,University of Arkansas,1,62,1102,436,337,52,0.42700000000000005,0.308,0.727,17.8,7.0,5.4,0.8,1.5,0.066,-3.3,-0.4,Gar Forman,2689 days 00:00:00.000000000,59,7,1,1,0,0,0,0,2016,CHI,Bobby Portis,20,2,20,20.4,0.6,0.0,0.0,5.4,4.8,5.1,10.6,2.4,3.4,16.7,26.3,0.0,0.0,0.0,0.09699999999999999,-0.7,0.6,-0.1,0.0,0.049,0.049,21.9,#NAME?,1.36,1969,8,0.275,0.521,34147,0.52,-0.75,1.88,0.04,-0.38,-1.62,-0.87,0.051,-0.04,-2.09,0.75,-0.1,7.2,0.0,0.1,0.5,0.3,-0.3,0.2,-0.8,-0.1,0.0,-2.4,0.1,-0.6,4.1,-0.8,4.9,0.0,0.0,0.6,5.2,0.0,0.0,-1.4,0.1,10.0,3.3,-0.1,0.0,0.1,0.4,-0.8,0.0,0.0,0.2,0.6,0.0,0.0,0.2,1400000.0,2500000.0,-4.6,-4.2,0.0,0.0,,0.0,,0.3,0.1,0.1,0.0,3.7,4.0,20.98,0.0,83.0,230.0,4.0,21.0
1871,Stanley Johnson,0,0,2015,8,DET,University of Arizona,1,73,1687,593,306,118,0.375,0.307,0.784,23.1,8.1,4.2,1.6,0.6,0.018000000000000002,-2.6,-0.2,Jeff Bower,849 days 00:00:00.000000000,74,7,1,1,0,0,0,0,2016,DET,Stanley Johnson,19,7,142,9.4,0.429,0.28600000000000003,0.23199999999999998,7.0,14.3,10.4,9.0,0.7,0.0,10.2,20.5,0.0,0.2,0.2,0.054000000000000006,-1.2,-0.4,-1.7,0.0,-0.006999999999999999,0.061,18.4,#NAME?,7.59,1704,7,0.275,0.5,29418,0.506,-0.31,-2.06,-0.21,-1.25,-0.44,-4.06,0.41700000000000004,-1.69,-2.74,2.37,-1.7,3.7,-0.7,0.1,0.3,0.1,-1.6,-0.2,-0.2,-1.6,-0.7,-0.9,1.2,-0.5,3.9,-2.1,2.5,-0.9,-0.2,0.4,2.7,0.2,0.3,-2.5,0.4,20.3,12.9,-1.7,-0.7,0.1,0.1,-2.1,-0.9,-0.2,-0.2,0.4,0.2,0.3,0.3,1500000.0,1500000.0,-1.7,-1.7,0.26,0.1,1300000.0,0.1,1300000.0,0.3,-0.5,0.8,0.2,3.3,3.0,19.68,0.0,79.0,245.0,3.0,20.0
2372,Rashad Vaughn,0,0,2015,17,MIL,University of Nevada Las Vegas,1,70,1001,217,88,39,0.305,0.293,0.8,14.3,3.1,1.3,0.6,-0.8,-0.036000000000000004,-6.1,-1.0,John Hammond,3094 days 00:00:00.000000000,88,8,1,1,0,0,0,0,2016,MIL,Rashad Vaughn,19,4,35,13.4,0.625,0.5,0.0,6.7,6.5,6.6,0.0,0.0,2.3,14.3,18.2,0.0,0.0,0.0,0.024,-1.2,-7.0,-8.2,-0.1,0.012,0.012,15.6,#NAME?,-11.22,1680,7,0.275,0.5379999999999999,28833,0.537,-6.19,-1.72,0.03,4.15,-1.49,-5.26,0.10400000000000001,-0.55,1.18,-2.93,-8.2,5.8,-0.9,-0.6,-1.2,0.4,1.7,-0.6,-0.8,-0.4,0.0,2.3,2.6,0.0,-5.8,-0.4,3.9,0.0,0.1,-7.8,4.2,-0.8,-0.8,7.4,0.1,8.8,4.4,-8.2,-0.9,-0.6,-1.1,-0.4,0.0,0.1,0.2,-7.8,-0.8,-0.8,-1.4,-1600000.0,-3500000.0,-6.2,-6.5,0.0,0.0,,0.0,,-1.7,0.4,-2.1,0.0,2.5,2.0,19.46,0.0,78.0,202.0,3.0,20.0
2373,Norman Powell,0,0,2015,46,MIL,University of California Los Angeles,1,49,725,273,111,47,0.424,0.40399999999999997,0.8109999999999999,14.8,5.6,2.3,1.0,1.6,0.105,-0.4,0.3,John Hammond,3094 days 00:00:00.000000000,88,8,1,1,0,0,0,0,2016,TOR,Norman Powell,22,3,10,-8.0,0.16699999999999998,0.16699999999999998,0.0,11.3,10.9,11.1,0.0,0.0,0.0,0.0,25.9,-0.1,0.0,-0.1,-0.287,-13.2,-7.7,-20.9,0.0,-0.384,0.09699999999999999,25.9,#NAME?,4.54,1679,7,0.275,0.523,28571,0.526,-6.3,-2.94,-0.96,-11.56,-1.86,-22.66,0.03,-0.67,-3.26,1.74,-20.9,9.5,-0.6,-0.6,-0.7,-0.6,-10.9,-0.5,-1.0,-13.6,-0.4,0.2,-0.8,0.2,3.9,-13.4,6.4,-0.4,-0.3,-7.5,6.9,-0.2,-0.2,-5.9,0.0,3.3,1.4,-20.9,-0.6,-0.6,-1.3,-13.4,-0.4,-0.3,-0.8,-7.5,-0.2,-0.2,-0.5,-1300000.0,-4300000.0,-4.6,-5.5,0.0,0.0,,0.0,,-1.5,-0.9,-0.6,0.0,2.6,2.0,22.69,0.0,76.0,215.0,3.0,23.0
2547,Myles Turner,0,0,2015,11,IND,University of Texas at Austin,1,60,1367,619,332,41,0.498,0.214,0.727,22.8,10.3,5.5,0.7,3.1,0.109,-2.3,-0.1,Larry Bird,1191 days 00:00:00.000000000,100,9,1,1,0,0,0,0,2016,IND,Myles Turner,19,7,125,14.2,0.578,0.0,0.263,4.3,15.8,10.0,1.4,1.2,4.4,12.4,17.2,0.1,0.2,0.3,0.114,-2.9,0.3,-2.6,0.0,0.038,0.076,15.1,#NAME?,2.07,1919,8,0.275,0.511,32899,0.507,-5.17,0.9,-0.13,2.44,-0.63,-2.46,0.326,-0.8,3.15,-0.13,-2.6,3.8,-0.8,-0.2,-1.8,0.2,-0.2,-0.3,-0.3,-2.4,-0.8,-3.4,2.4,-1.3,2.1,-3.7,2.6,-1.2,-0.7,1.1,2.8,0.4,0.5,-4.9,0.3,17.9,11.4,-2.6,-0.8,-0.2,-0.2,-3.7,-1.2,-0.7,-0.8,1.1,0.4,0.5,0.5,200000.0,100000.0,-2.8,-2.8,0.1,-0.1,700000.0,-0.1,800000.0,-0.5,-1.8,1.3,-0.2,4.5,5.0,19.86,0.0,83.0,243.0,5.0,20.0
2548,Joseph Young,0,0,2015,43,IND,University of Oregon,1,41,384,154,50,65,0.36700000000000005,0.217,0.8,9.4,3.8,1.2,1.6,-0.1,-0.009000000000000001,-5.4,-0.3,Larry Bird,1191 days 00:00:00.000000000,100,9,1,1,0,0,0,0,2016,IND,Joseph Young,23,2,4,-18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,11.1,0.0,0.0,0.0,-0.355,-15.8,0.7,-15.0,0.0,-0.17800000000000002,-0.17800000000000002,0.0,#NAME?,2.07,1919,8,0.275,0.511,32899,0.511,-6.01,-2.94,-1.32,-4.02,-1.95,-14.92,0.01,-0.16,3.15,-0.13,-15.1,14.1,-0.2,-0.1,-1.9,-0.9,-10.9,-0.5,-1.0,-15.3,-0.2,-3.4,2.4,-1.3,2.1,-16.6,9.6,-0.2,-0.2,1.6,10.2,0.0,0.0,-18.2,0.0,2.0,0.7,-15.1,-0.2,-0.1,-0.5,-16.6,-0.2,-0.2,-0.6,1.6,0.0,0.0,0.1,500000.0,-1200000.0,-5.1,-5.4,0.0,0.0,,0.0,,-0.4,-0.4,0.1,0.0,1.0,1.0,23.6,0.0,74.0,180.0,1.0,24.0
